AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,248
35-44,A,Under 15K,Renter,Unknown,3,1,249
45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,250
45-54,Unknown,Under 15K,Unknown,Single Female,1,Unknown,253
25-34,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,256
25-34,Unknown,25-34K,Unknown,1 Adult Kids,3,2,257
45-54,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,263
45-54,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,264
35-44,Unknown,35-49K,Unknown,Single Male,1,Unknown,276
35-44,B,50-74K,Homeowner,Single Female,1,Unknown,281
45-54,Unknown,35-49K,Unknown,Single Female,1,Unknown,282
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,283
45-54,B,100-124K,Homeowner,Single Male,1,Unknown,289
25-34,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,290
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,294
55-64,A,Under 15K,Unknown,Single Female,2,Unknown,300
35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,301
45-54,Unknown,35-49K,Homeowner,2 Adults Kids,3,1,302
25-34,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,304
19-24,Unknown,35-49K,Homeowner,2 Adults Kids,4,2,306
25-34,A,75-99K,Homeowner,Single Male,2,Unknown,309
45-54,Unknown,75-99K,Homeowner,2 Adults Kids,3,1,314
45-54,A,75-99K,Homeowner,Single Male,2,Unknown,317
45-54,Unknown,35-49K,Homeowner,1 Adult Kids,4,3+,319
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,321
45-54,Unknown,50-74K,Unknown,Single Female,1,Unknown,324
35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,325
25-34,Unknown,75-99K,Unknown,Single Female,1,Unknown,329
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,332
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,334
65+,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,346
45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,350
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,351
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,353
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,354
35-44,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,358
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,361
65+,Unknown,50-74K,Unknown,Single Male,1,Unknown,362
55-64,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,367
65+,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,370
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,371
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,377
55-64,A,50-74K,Homeowner,Single Female,2,Unknown,378
25-34,B,35-49K,Homeowner,1 Adult Kids,2,1,381
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,383
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,385
35-44,B,25-34K,Probable Owner,Single Female,1,Unknown,386
25-34,B,50-74K,Homeowner,Single Female,1,Unknown,387
35-44,Unknown,150-174K,Probable Owner,Single Female,1,Unknown,389
45-54,B,25-34K,Renter,Single Female,1,Unknown,390
65+,B,25-34K,Unknown,Single Female,1,Unknown,391
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,392
35-44,Unknown,25-34K,Unknown,Single Male,1,Unknown,395
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,400
25-34,A,25-34K,Unknown,Unknown,2,Unknown,404
19-24,B,25-34K,Homeowner,2 Adults No Kids,2,Unknown,409
55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+,410
35-44,Unknown,Under 15K,Unknown,2 Adults No Kids,2,Unknown,411
65+,A,15-24K,Homeowner,Single Female,2,Unknown,412
45-54,Unknown,100-124K,Unknown,Unknown,1,Unknown,413
45-54,A,35-49K,Unknown,Single Female,2,Unknown,417
35-44,Unknown,35-49K,Unknown,2 Adults Kids,3,1,418
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,426
19-24,Unknown,50-74K,Probable Owner,2 Adults No Kids,2,Unknown,428
19-24,Unknown,25-34K,Unknown,Single Female,1,Unknown,432
35-44,A,15-24K,Homeowner,2 Adults Kids,3,1,434
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,437
35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,Unknown,438
45-54,B,50-74K,Homeowner,Single Female,1,Unknown,441
25-34,Unknown,15-24K,Unknown,1 Adult Kids,2,1,442
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,443
25-34,B,Under 15K,Renter,2 Adults No Kids,2,Unknown,451
55-64,Unknown,35-49K,Unknown,Single Male,1,Unknown,454
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,Unknown,456
55-64,A,35-49K,Homeowner,Single Female,2,Unknown,458
65+,B,25-34K,Homeowner,Single Female,1,Unknown,460
65+,Unknown,100-124K,Unknown,Single Male,1,Unknown,462
65+,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,464
45-54,Unknown,75-99K,Probable Owner,Single Female,1,Unknown,469
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,473
45-54,Unknown,35-49K,Unknown,Single Female,1,Unknown,483
25-34,Unknown,15-24K,Unknown,2 Adults No Kids,2,Unknown,484
35-44,Unknown,25-34K,Homeowner,Single Male,1,Unknown,485
55-64,Unknown,150-174K,Unknown,Single Female,1,Unknown,489
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,490
45-54,A,75-99K,Unknown,Single Female,2,Unknown,491
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,492
55-64,Unknown,50-74K,Unknown,Unknown,1,Unknown,493
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,510
45-54,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,513
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,518
65+,B,35-49K,Homeowner,Single Male,1,Unknown,523
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,526
45-54,Unknown,50-74K,Homeowner,Single Female,1,Unknown,527
45-54,Unknown,35-49K,Unknown,Single Male,1,Unknown,534
25-34,B,50-74K,Homeowner,Single Female,1,Unknown,540
25-34,Unknown,35-49K,Unknown,Single Female,1,Unknown,542
35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1,543
45-54,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,546
35-44,B,75-99K,Homeowner,2 Adults No Kids,2,Unknown,548
45-54,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,553
19-24,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,560
19-24,Unknown,25-34K,Unknown,Single Male,1,Unknown,567
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,569
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,574
35-44,Unknown,50-74K,Unknown,Single Female,1,Unknown,575
55-64,A,35-49K,Homeowner,Single Male,2,Unknown,576
25-34,Unknown,50-74K,Unknown,Single Male,1,Unknown,578
45-54,A,125-149K,Homeowner,Unknown,3,1,582
35-44,B,15-24K,Unknown,Single Female,1,Unknown,583
19-24,A,35-49K,Renter,2 Adults Kids,3,1,586
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,588
35-44,Unknown,35-49K,Unknown,Single Male,1,Unknown,593
25-34,Unknown,35-49K,Unknown,2 Adults Kids,3,1,595
45-54,A,15-24K,Homeowner,1 Adult Kids,3,1,596
19-24,Unknown,Under 15K,Unknown,1 Adult Kids,2,1,597
35-44,B,25-34K,Unknown,Single Female,1,Unknown,598
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,601
25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,605
45-54,Unknown,35-49K,Probable Renter,Unknown,1,Unknown,606
45-54,Unknown,125-149K,Unknown,Unknown,1,Unknown,607
25-34,B,25-34K,Renter,1 Adult Kids,5+,3+,608
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,609
35-44,A,15-24K,Unknown,2 Adults Kids,4,2,614
45-54,Unknown,35-49K,Unknown,Single Male,1,Unknown,621
35-44,Unknown,15-24K,Unknown,Single Female,1,Unknown,622
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,623
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,624
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,630
65+,A,100-124K,Homeowner,2 Adults Kids,3,1,631
65+,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,644
35-44,A,50-74K,Renter,2 Adults Kids,4,2,647
55-64,A,50-74K,Homeowner,Unknown,2,Unknown,660
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,661
55-64,A,35-49K,Unknown,2 Adults Kids,3,1,670
35-44,Unknown,35-49K,Homeowner,Single Female,1,Unknown,671
35-44,Unknown,25-34K,Unknown,2 Adults No Kids,2,Unknown,672
35-44,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,675
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,680
65+,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,682
35-44,A,Under 15K,Unknown,Single Female,2,Unknown,685
35-44,A,125-149K,Homeowner,2 Adults Kids,3,1,688
65+,B,15-24K,Homeowner,Single Female,1,Unknown,690
65+,Unknown,35-49K,Homeowner,Single Female,1,Unknown,692
45-54,Unknown,15-24K,Unknown,2 Adults No Kids,2,Unknown,693
35-44,B,35-49K,Unknown,1 Adult Kids,3,2,695
35-44,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,696
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,699
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,Unknown,706
25-34,A,100-124K,Homeowner,2 Adults Kids,5+,3+,707
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,708
65+,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,712
55-64,Unknown,15-24K,Unknown,2 Adults Kids,3,1,714
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,715
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,716
45-54,A,25-34K,Homeowner,2 Adults Kids,5+,3+,718
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,722
45-54,Unknown,25-34K,Unknown,Single Female,1,Unknown,725
45-54,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,731
55-64,A,75-99K,Homeowner,2 Adults Kids,4,2,732
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,733
45-54,A,175-199K,Homeowner,Single Female,2,Unknown,740
65+,Unknown,50-74K,Homeowner,2 Adults Kids,3,1,741
35-44,A,15-24K,Renter,1 Adult Kids,4,2,742
45-54,B,Under 15K,Homeowner,2 Adults Kids,3,1,748
35-44,A,75-99K,Renter,Single Female,2,Unknown,752
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,753
35-44,Unknown,50-74K,Homeowner,Unknown,1,Unknown,755
25-34,A,125-149K,Homeowner,1 Adult Kids,5+,3+,761
35-44,A,125-149K,Renter,Single Female,2,Unknown,762
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,764
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,766
35-44,A,50-74K,Renter,Single Female,2,Unknown,768
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,770
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,771
65+,Unknown,125-149K,Homeowner,2 Adults Kids,3,1,779
45-54,A,100-124K,Homeowner,Single Female,2,Unknown,784
65+,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,785
19-24,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,786
25-34,B,25-34K,Homeowner,Single Male,1,Unknown,787
25-34,Unknown,Under 15K,Unknown,1 Adult Kids,2,1,788
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,790
25-34,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,797
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,800
65+,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,802
25-34,Unknown,75-99K,Unknown,2 Adults No Kids,2,Unknown,803
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,806
45-54,Unknown,75-99K,Homeowner,2 Adults Kids,3,1,808
25-34,Unknown,50-74K,Unknown,Single Female,1,Unknown,816
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,817
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,823
45-54,A,175-199K,Homeowner,2 Adults No Kids,2,Unknown,825
45-54,B,50-74K,Homeowner,1 Adult Kids,3,2,831
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,840
45-54,A,200-249K,Homeowner,2 Adults No Kids,2,Unknown,844
19-24,B,50-74K,Homeowner,Single Female,1,Unknown,845
25-34,Unknown,35-49K,Unknown,2 Adults Kids,4,2,852
25-34,B,175-199K,Unknown,Single Female,1,Unknown,853
55-64,B,35-49K,Homeowner,Single Female,1,Unknown,856
65+,A,35-49K,Homeowner,1 Adult Kids,3,1,857
25-34,Unknown,50-74K,Unknown,Single Female,1,Unknown,859
45-54,Unknown,15-24K,Unknown,Unknown,1,Unknown,863
35-44,Unknown,15-24K,Homeowner,Single Female,1,Unknown,864
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,865
45-54,Unknown,15-24K,Unknown,1 Adult Kids,2,1,866
45-54,Unknown,75-99K,Homeowner,Unknown,1,Unknown,867
65+,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,868
35-44,A,200-249K,Homeowner,2 Adults Kids,3,1,871
25-34,Unknown,25-34K,Unknown,2 Adults Kids,3,1,875
25-34,Unknown,35-49K,Unknown,1 Adult Kids,3,2,878
35-44,B,50-74K,Homeowner,2 Adults No Kids,2,Unknown,879
45-54,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,882
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,883
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,886
25-34,Unknown,150-174K,Homeowner,2 Adults Kids,3,1,888
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,889
45-54,Unknown,150-174K,Unknown,Single Male,1,Unknown,895
55-64,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,898
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,900
35-44,Unknown,35-49K,Unknown,Single Male,1,Unknown,903
55-64,A,Under 15K,Homeowner,Single Female,2,Unknown,906
45-54,A,100-124K,Probable Owner,2 Adults Kids,3,1,908
25-34,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,911
45-54,B,15-24K,Homeowner,2 Adults No Kids,2,Unknown,914
45-54,Unknown,15-24K,Unknown,Single Female,1,Unknown,915
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,920
45-54,Unknown,35-49K,Unknown,Unknown,1,Unknown,922
35-44,Unknown,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,926
45-54,B,25-34K,Renter,1 Adult Kids,2,1,929
19-24,Unknown,15-24K,Unknown,2 Adults No Kids,2,Unknown,932
45-54,Unknown,Under 15K,Unknown,Single Female,1,Unknown,934
45-54,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,939
19-24,A,200-249K,Unknown,2 Adults No Kids,2,Unknown,941
19-24,Unknown,Under 15K,Unknown,Single Female,1,Unknown,946
65+,B,35-49K,Homeowner,Single Male,1,Unknown,947
25-34,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,949
19-24,Unknown,Under 15K,Unknown,Single Female,1,Unknown,955
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,956
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,960
35-44,B,35-49K,Renter,1 Adult Kids,2,1,968
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,971
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,973
25-34,A,200-249K,Homeowner,2 Adults Kids,5+,3+,976
35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,979
45-54,A,25-34K,Homeowner,Single Female,2,Unknown,981
45-54,Unknown,35-49K,Unknown,2 Adults Kids,4,2,982
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,983
25-34,Unknown,35-49K,Unknown,Single Male,1,Unknown,986
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,992
55-64,A,50-74K,Homeowner,1 Adult Kids,5+,3+,993
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,996
45-54,Unknown,75-99K,Homeowner,Single Male,1,Unknown,997
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1001
35-44,Unknown,25-34K,Unknown,Single Female,1,Unknown,1003
25-34,Unknown,15-24K,Unknown,Single Male,1,Unknown,1004
35-44,A,35-49K,Unknown,Unknown,5+,3+,1012
45-54,A,15-24K,Unknown,2 Adults Kids,4,2,1014
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1015
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,1018
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,1020
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,1021
25-34,A,Under 15K,Homeowner,2 Adults Kids,4,2,1024
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1031
55-64,Unknown,Under 15K,Probable Renter,Single Male,1,Unknown,1038
25-34,B,100-124K,Unknown,Single Male,1,Unknown,1040
25-34,Unknown,35-49K,Unknown,Single Male,1,Unknown,1041
25-34,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1042
25-34,A,Under 15K,Homeowner,Single Male,2,Unknown,1045
55-64,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,1053
35-44,Unknown,50-74K,Unknown,Single Male,1,Unknown,1057
35-44,B,35-49K,Renter,2 Adults No Kids,2,Unknown,1060
65+,Unknown,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1062
35-44,Unknown,25-34K,Unknown,2 Adults No Kids,2,Unknown,1066
25-34,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,1069
35-44,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1070
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,1074
25-34,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1076
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1081
45-54,Unknown,35-49K,Unknown,Single Male,1,Unknown,1082
25-34,Unknown,35-49K,Unknown,2 Adults Kids,3,1,1084
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1091
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,1094
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,1103
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1113
35-44,B,Under 15K,Renter,2 Adults Kids,4,2,1120
55-64,A,15-24K,Unknown,Single Female,2,Unknown,1123
25-34,Unknown,75-99K,Unknown,2 Adults Kids,3,1,1128
55-64,Unknown,25-34K,Renter,2 Adults Kids,3,1,1130
45-54,B,50-74K,Homeowner,2 Adults Kids,3,1,1131
45-54,Unknown,50-74K,Unknown,Unknown,2,1,1135
65+,B,35-49K,Homeowner,Single Male,1,Unknown,1137
35-44,Unknown,15-24K,Unknown,2 Adults No Kids,2,Unknown,1138
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1142
35-44,B,35-49K,Homeowner,1 Adult Kids,4,3+,1146
19-24,Unknown,25-34K,Unknown,2 Adults No Kids,2,Unknown,1147
45-54,Unknown,Under 15K,Probable Renter,Single Male,1,Unknown,1151
45-54,A,35-49K,Homeowner,Unknown,2,Unknown,1154
45-54,Unknown,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1158
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1159
65+,Unknown,35-49K,Homeowner,Single Female,1,Unknown,1160
35-44,Unknown,Under 15K,Unknown,Unknown,1,Unknown,1163
25-34,Unknown,15-24K,Unknown,Single Male,1,Unknown,1164
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,1166
35-44,Unknown,50-74K,Homeowner,2 Adults Kids,4,2,1167
19-24,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1169
25-34,B,50-74K,Unknown,Single Male,1,Unknown,1172
25-34,Unknown,Under 15K,Unknown,2 Adults Kids,5+,3+,1174
25-34,A,50-74K,Homeowner,Single Female,2,Unknown,1175
45-54,Unknown,15-24K,Unknown,Single Female,1,Unknown,1178
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1179
45-54,A,50-74K,Homeowner,1 Adult Kids,5+,3+,1186
45-54,Unknown,35-49K,Renter,Unknown,1,Unknown,1188
25-34,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1190
35-44,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1197
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,1218
19-24,A,15-24K,Homeowner,2 Adults Kids,3,1,1219
45-54,Unknown,15-24K,Homeowner,Single Female,1,Unknown,1222
25-34,B,35-49K,Homeowner,1 Adult Kids,3,2,1226
45-54,Unknown,100-124K,Unknown,Single Female,1,Unknown,1228
